,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
439,InZaNe,75,3000,37,T,0,replays/1stRun\2d0ec03490ec424e931459ce71b81f32.SC2Replay
440,GAMETIME,52,2475,21,Z,1,replays/1stRun\2d22639b9a424ee9892409bf48872cec.SC2Replay
441,TheoRy,36,575,3,P,0,replays/1stRun\2d22639b9a424ee9892409bf48872cec.SC2Replay
442,Solar,61,2750,49,Z,1,replays/1stRun\2d294fec65e54e2baf3f923f8d618a5a.SC2Replay
443,Patience,48,975,5,P,0,replays/1stRun\2d294fec65e54e2baf3f923f8d618a5a.SC2Replay
444,RiSky,60,8350,74,Z,1,replays/1stRun\2d3197a2ebde48be8e9b204cb5062db6.SC2Replay
445,eonblu,59,7250,85,Z,0,replays/1stRun\2d3197a2ebde48be8e9b204cb5062db6.SC2Replay
446,liquidthermy,62,2600,32,T,1,replays/1stRun\2d323cb2b92045bd9e01c3e465274b2a.SC2Replay
447,SouLeer,61,3150,52,Z,0,replays/1stRun\2d323cb2b92045bd9e01c3e465274b2a.SC2Replay
448,MaNa,47,1100,6,P,1,replays/1stRun\2d4195500173413e9fdce4b57d81fefe.SC2Replay
449,MaSa,36,1300,12,T,0,replays/1stRun\2d4195500173413e9fdce4b57d81fefe.SC2Replay
450,Namshar,34,1375,30,Z,1,replays/1stRun\2d69008813e842c6aa7bcab577104c87.SC2Replay
451,GAMETIME,35,1225,18,Z,0,replays/1stRun\2d69008813e842c6aa7bcab577104c87.SC2Replay
452,Neeb,69,2675,10,P,0,replays/1stRun\2d75507b30804de39d8eb493f80bc3f3.SC2Replay
453,Reynor,83,5450,45,Z,1,replays/1stRun\2d75507b30804de39d8eb493f80bc3f3.SC2Replay
454,RiSky,50,2725,28,Z,0,replays/1stRun\2d7eeeb82fb440f791dd877f37b43651.SC2Replay
455,Zest,45,1000,5,P,1,replays/1stRun\2d7eeeb82fb440f791dd877f37b43651.SC2Replay
456,ShoWTimE,57,1475,8,P,1,replays/1stRun\2da735b908f245ec95534a359ec8df8f.SC2Replay
457,SpeCial,52,1550,13,T,0,replays/1stRun\2da735b908f245ec95534a359ec8df8f.SC2Replay
458,PandaBearMe,31,1550,40,Z,0,replays/1stRun\2daf479a2973486d8d72e7cdca4cb968.SC2Replay
459,MightyKiwi,38,2050,45,Z,1,replays/1stRun\2daf479a2973486d8d72e7cdca4cb968.SC2Replay
460,Solar,59,3500,26,Z,0,replays/1stRun\2db252ae226940e7a2c6c14359314d4a.SC2Replay
461,Ryung,54,2425,26,T,1,replays/1stRun\2db252ae226940e7a2c6c14359314d4a.SC2Replay
462,TLO,69,3200,27,Z,1,replays/1stRun\2dccd270b2744a0c881e06272c0f9261.SC2Replay
463,PandaBearMe,71,2425,21,Z,0,replays/1stRun\2dccd270b2744a0c881e06272c0f9261.SC2Replay
464,MCanning,19,400,3,P,0,replays/1stRun\2de3adb774c5446b9dce40103c16df1a.SC2Replay
465,miwa,28,2425,30,Z,1,replays/1stRun\2de3adb774c5446b9dce40103c16df1a.SC2Replay
466,Serral,43,1025,11,Z,0,replays/1stRun\2df167a195084263a6904e0323e6ec97.SC2Replay
467,Lambo,33,1800,16,Z,1,replays/1stRun\2df167a195084263a6904e0323e6ec97.SC2Replay
468,DisK,39,1000,4,P,1,replays/1stRun\2e03859d68604b9189834aa3107ec079.SC2Replay
469,Rhizer,31,1675,8,P,0,replays/1stRun\2e03859d68604b9189834aa3107ec079.SC2Replay
470,LiquidTLO,55,7450,62,Z,0,replays/1stRun\2e04e1013bc449c3af5d40acb2f80fee.SC2Replay
471,BLY,60,8550,66,Z,1,replays/1stRun\2e04e1013bc449c3af5d40acb2f80fee.SC2Replay
472,MMA,70,4725,47,T,1,replays/1stRun\2e0cc8972db341caa6421bc615179167.SC2Replay
473,DeMusliM,65,3975,41,T,0,replays/1stRun\2e0cc8972db341caa6421bc615179167.SC2Replay
474,HellraiseR,43,350,3,P,0,replays/1stRun\2e29268d0b9742d48479d465dba225d1.SC2Replay
475,TSGSolar,51,2125,37,Z,1,replays/1stRun\2e29268d0b9742d48479d465dba225d1.SC2Replay
476,Creature,43,800,5,P,0,replays/1stRun\2e2e692f870f4bfbb6bf5f4226957087.SC2Replay
477,HuShang,40,1500,9,P,1,replays/1stRun\2e2e692f870f4bfbb6bf5f4226957087.SC2Replay
478,TooDming,28,775,9,Z,1,replays/1stRun\2e3ce97c8f7d4f78886143f0a33889e6.SC2Replay
479,xKawaiian,24,300,3,T,0,replays/1stRun\2e3ce97c8f7d4f78886143f0a33889e6.SC2Replay
480,Lambo,65,11750,129,Z,1,replays/1stRun\2e3e202d02944fc9bb076f951f0d13e0.SC2Replay
481,PtitDrogo,80,1325,6,P,0,replays/1stRun\2e3e202d02944fc9bb076f951f0d13e0.SC2Replay
482,thermy,23,50,1,T,1,replays/1stRun\2e4cdef706434b2db2f95739e829ac2c.SC2Replay
483,Harstem,24,250,2,P,0,replays/1stRun\2e4cdef706434b2db2f95739e829ac2c.SC2Replay
484,lIIllllIIlll,15,200,4,T,0,replays/1stRun\2e61a8fb5cb34eb4b811cad56ea13ce2.SC2Replay
485,Solar,17,500,11,Z,1,replays/1stRun\2e61a8fb5cb34eb4b811cad56ea13ce2.SC2Replay
486,Scarlett,20,550,11,Z,0,replays/1stRun\2e6b5c4f40f24471bf6b7e18ab88643f.SC2Replay
487,Harstem,21,0,0,P,1,replays/1stRun\2e6b5c4f40f24471bf6b7e18ab88643f.SC2Replay
488,Bunny,44,1925,14,T,1,replays/1stRun\2e7c2da5ad164c9da220a5e4a9edd73d.SC2Replay
489,lIIllllIIlll,36,1650,8,T,0,replays/1stRun\2e7c2da5ad164c9da220a5e4a9edd73d.SC2Replay
